525	0.7932	0.1096	0.7932	0.05725
526	0.80811	0.12017	0.80811	0.0539
527	0.8225	0.13111	0.8225	0.05075
528	0.83631	0.14237	0.83631	0.04775
529	0.84949	0.15385	0.84949	0.0449
530	0.862	0.1655	0.862	0.04216
531	0.87381	0.17726	0.87381	0.03951
532	0.88496	0.18914	0.88496	0.03694
533	0.89549	0.20117	0.89549	0.03446
534	0.90544	0.21337	0.90544	0.03209
535	0.91485	0.22575	0.91485	0.02984
536	0.92373	0.23832	0.92373	0.02771
537	0.93209	0.25107	0.93209	0.02569
538	0.93992	0.26399	0.93992	0.02379
539	0.94723	0.2771	0.94723	0.02199
540	0.954	0.2904	0.954	0.0203
541	0.96026	0.30389	0.96026	0.01872
542	0.96601	0.31757	0.96601	0.01724
543	0.97126	0.33144	0.97126	0.01586
544	0.97602	0.34548	0.97602	0.01458
545	0.9803	0.3597	0.9803	0.0134
546	0.98409	0.37408	0.98409	0.01231
547	0.98742	0.38864	0.98742	0.0113
548	0.99031	0.40338	0.99031	0.01038
549	0.99281	0.41831	0.99281	0.00953
550	0.99495	0.43345	0.99495	0.00875
551	0.99671	0.4488	0.99671	0.00804
552	0.9981	0.46434	0.9981	0.00738
553	0.99911	0.48006	0.99911	0.00679
554	0.99975	0.49597	0.99975	0.00624
555	1	0.51205	1	0.00575
556	0.99986	0.5283	0.99986	0.0053
557	0.9993	0.54469	0.9993	0.0049
558	0.99833	0.56121	0.99833	0.00453
559	0.9969	0.57782	0.9969	0.0042
560	0.995	0.5945	0.995	0.0039
561	0.9926	0.61122	0.9926	0.00362
562	0.98974	0.62798	0.98974	0.00337
563	0.98644	0.64476	0.98644	0.00314
564	0.98272	0.66157	0.98272	0.00293
565	0.9786	0.6784	0.9786	0.00275
566	0.97408	0.69524	0.97408	0.00259
567	0.96917	0.71206	0.96917	0.00244
568	0.96386	0.72883	0.96386	0.00231
569	0.95813	0.74552	0.95813	0.0022
570	0.952	0.7621	0.952	0.0021
571	0.94545	0.77854	0.94545	0.00202
572	0.9385	0.79483	0.9385	0.00195
573	0.93116	0.81093	0.93116	0.00189
574	0.92346	0.82682	0.92346	0.00184
575	0.9154	0.8425	0.9154	0.0018
576	0.90701	0.85793	0.90701	0.00177
577	0.89828	0.87308	0.89828	0.00174
578	0.8892	0.88789	0.8892	0.00171
579	0.87978	0.90232	0.87978	0.00168
580	0.87	0.9163	0.87	0.00165
581	0.85986	0.9298	0.85986	0.00161
582	0.84939	0.9428	0.84939	0.00156
583	0.83862	0.95528	0.83862	0.00151
584	0.82758	0.96722	0.82758	0.00146
585	0.8163	0.9786	0.8163	0.0014
586	0.80479	0.98939	0.80479	0.00134
587	0.79308	0.99955	0.79308	0.00127
588	0.78119	1.00909	0.78119	0.00121
589	0.76915	1.01801	0.76915	0.00115
590	0.757	1.0263	0.757	0.0011
591	0.74475	1.03398	0.74475	0.00107
592	0.73242	1.04099	0.73242	0.00105
593	0.72	1.04719	0.72	0.00104
594	0.7075	1.05247	0.7075	0.00102
595	0.6949	1.0567	0.6949	1E-3
596	0.68222	1.05979	0.68222	9.6864E-4
597	0.66947	1.0618	0.66947	9.2992E-4
598	0.65667	1.06281	0.65667	8.8688E-4
599	0.64384	1.06291	0.64384	8.4256E-4
600	0.631	1.0622	0.631	8E-4
601	0.61816	1.06074	0.61816	7.6096E-4
602	0.60531	1.05844	0.60531	7.2368E-4
603	0.59248	1.05522	0.59248	6.8592E-4
604	0.57964	1.05098	0.57964	6.4544E-4
605	0.5668	1.0456	0.5668	6E-4
606	0.55396	1.03904	0.55396	5.47867E-4
607	0.54114	1.03136	0.54114	4.916E-4
608	0.52835	1.02267	0.52835	4.354E-4
609	0.51563	1.01305	0.51563	3.83467E-4
610	0.503	1.0026	0.503	3.4E-4
611	0.49047	0.99137	0.49047	3.07253E-4
612	0.47803	0.97933	0.47803	2.8316E-4
613	0.46568	0.96649	0.46568	2.6544E-4
614	0.4534	0.95285	0.4534	2.51813E-4
615	0.4412	0.9384	0.4412	2.4E-4
616	0.42908	0.92319	0.42908	2.29547E-4
617	0.41704	0.90724	0.41704	2.2064E-4
618	0.40503	0.8905	0.40503	2.1196E-4
619	0.39303	0.87292	0.39303	2.02187E-4
620	0.381	0.85445	0.381	1.9E-4
621	0.36892	0.83508	0.36892	1.74213E-4
622	0.35683	0.81495	0.35683	1.5564E-4
623	0.34478	0.79419	0.34478	1.3596E-4
624	0.33282	0.77295	0.33282	1.16853E-4
625	0.321	0.7514	0.321	1E-4
626	0.30934	0.72958	0.30934	8.61333E-5
627	0.29785	0.70759	0.29785	7.46E-5
628	0.28659	0.6856	0.28659	6.5E-5
629	0.27562	0.66381	0.27562	5.69333E-5
630	0.265	0.6424	0.265	5E-5
631	0.25476	0.62151	0.25476	4.416E-5
632	0.24489	0.60111	0.24489	3.948E-5
633	0.23533	0.58111	0.23533	3.572E-5
634	0.22605	0.5614	0.22605	3.264E-5
635	0.217	0.5419	0.217	3E-5
636	0.20816	0.5226	0.20816	2.76533E-5
637	0.19955	0.50355	0.19955	2.556E-5
638	0.19116	0.48474	0.19116	2.364E-5
639	0.18297	0.46619	0.18297	2.18133E-5
640	0.175	0.4479	0.175	2E-5
641	0.16722	0.42986	0.16722	1.81333E-5
642	0.15965	0.4121	0.15965	1.62E-5
643	0.15228	0.39464	0.15228	1.42E-5
644	0.14513	0.37753	0.14513	1.21333E-5
645	0.1382	0.3608	0.1382	1E-5
646	0.1315	0.34446	0.1315	7.73333E-6
647	0.12502	0.32852	0.12502	5.4E-6
648	0.11878	0.31302	0.11878	3.2E-6
649	0.11277	0.298	0.11277	1.33333E-6
650	0.107	0.2835	0.107	0
651	0.10148	0.26954	0.10148	0
652	0.09619	0.25612	0.09619	0
653	0.09112	0.24319	0.09112	0
654	0.08626	0.23073	0.08626	0
655	0.0816	0.2187	0.0816	0
656	0.07712	0.2071	0.07712	0
657	0.07283	0.19592	0.07283	0
658	0.06871	0.18517	0.06871	0
659	0.06477	0.17483	0.06477	0
660	0.061	0.1649	0.061	0
661	0.0574	0.15537	0.0574	0
662	0.05396	0.14623	0.05396	0
663	0.05067	0.13749	0.05067	0
664	0.04755	0.12915	0.04755	0
665	0.04458	0.1212	0.04458	0
666	0.04176	0.11364	0.04176	0
667	0.03908	0.10647	0.03908	0
668	0.03656	0.09969	0.03656	0
669	0.0342	0.09333	0.0342	0
670	0.032	0.0874	0.032	0
671	0.02996	0.0819	0.02996	0
672	0.02808	0.0768	0.02808	0
673	0.02633	0.07208	0.02633	0
674	0.02471	0.06769	0.02471	0
675	0.0232	0.0636	0.0232	0
676	0.0218	0.05981	0.0218	0
677	0.0205	0.05628	0.0205	0
678	0.01928	0.05297	0.01928	0
679	0.01812	0.04982	0.01812	0
680	0.017	0.04677	0.017	0
681	0.0159	0.04378	0.0159	0
682	0.01484	0.04088	0.01484	0
683	0.01381	0.03807	0.01381	0
684	0.01283	0.0354	0.01283	0
685	0.01192	0.0329	0.01192	0
686	0.01107	0.03056	0.01107	0
687	0.01027	0.02838	0.01027	0
688	0.00953	0.02634	0.00953	0
689	0.00885	0.02445	0.00885	0
690	0.00821	0.0227	0.00821	0
691	0.00762	0.02108	0.00762	0
692	0.00709	0.0196	0.00709	0
693	0.00659	0.01824	0.00659	0
694	0.00614	0.01699	0.00614	0
